joining_date,job_title,required_experience,Salary,Industary_Sector,Demanding_Of_the_Job,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons
01/02/2021,IT Project Manager,More than 6 years,110000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/03/2023,Software Quality Assurance Engineer,Fresh graduate,8000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
01/01/2024,Software Developer (Backend),Fresh graduate,12000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/01/2022,Software Developer (Frontend),Less than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
01/01/2023,Web Developer,Less than 2 years,50000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
01/02/2021,Senior Software Engineer (Backend),More than 5 years,120000,E-Commerce,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2022,IT Support Engineer,Less than 2 years,28000,Technology,Not Sure,Satisfied,On Site,Yes,Better salary/benefits
01/01/2020,Software Developer (Backend),More than 7 years,125000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/01/2023,Software Engineer,Less than 2 years,27500,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
01/01/2023,Senior Software Engineer (Frontend),More than 6 years,200000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
01/02/2023,Junior Software Developer (Frontend),Less than 2 years,100000,Technology,Increasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
01/02/2022,Software Developer (Backend),Less than 2 years,35000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Senior Software Developer (Backend),More than 2 years,115000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2021,Senior Software Developer (Frontend),More than 4 years,80000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2022,Senior Software Engineer (Backend),More than 6 years,170000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2023,Software Developer (Frontend),More than 2 years,40000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2022,Software Developer (Frontend),More than 4 years,65000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2021,Software Engineer (Backend),Less than 2 years,22000,Human Resources Services,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2023,Software Developer (Backend),More than 3 years,105000,Travel and Tourism,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,Senior Software Developer (Backend),More than 3 years,105000,Travel and Tourism,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,DevOps Engineer,More than 4 years,55000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
01/02/2021,Software Developer (Frontend),Less than 2 years,25000,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
01/02/2023,Full Stack Developer,More than 3 years,45000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2024,IT Project Manager,More than 2 years,65000,E-Commerce,Increasing,Satisfied,Remote,Yes,Better salary/benefits
01/02/2022,IT Project Manager,More than 3 years,90000,E-Commerce,Increasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
01/02/2023,Software Engineer (Frontend),More than 3 years,80000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,Software Developer (Backend),Less than 2 years,47500,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
01/02/2022,Full Stack Developer,More than 2 years,100000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2023,Software Developer (Backend),More than 2 years,70000,Technology,Not Sure,Satisfied,On Site,Yes,Better salary/benefits
01/02/2023,Software Engineer (Backend),More than 3 years,90000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2021,Senior Software Developer (Backend),More than 8 years,150000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,Database Administrator (DBA),More than 3 years,100000,Technology,Increasing,Satisfied,Hybrid,No,I am happy with my work role
01/02/2023,Senior Software Engineer (Frontend),More than 4 years,200000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2023,Software Engineer (Backend),More than 2 years,135000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,Software Engineer,More than 2 years,40000,Telecommunications,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2021,Software Developer (Frontend),Less than 2 years,32500,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
01/02/2022,Software Developer (Backend),Fresh graduate,12000,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
01/02/2023,Software Developer (Backend),More than 3 years,75000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2023,Software Developer (Backend),More than 3 years,75000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
